Country,Region
Canada,North America
United States,North America
Britain,Western Europe
France,Western Europe
Germany,Western Europe
Italy,Western Europe
Spain,Western Europe
Greece,Eastern Europe
Poland,Eastern Europe
Czech Republic,Eastern Europe
Russia,Eastern Europe
Turkey,Middle East and Africa
Egypt,Middle East and Africa
Jordan,Middle East and Africa
Lebanon,Middle East and Africa
Palestinian territories,Middle East and Africa
Tunisia,Middle East and Africa
Israel,Middle East and Africa
Australia,Asia Pacific
China,Asia Pacific
Indonesia,Asia Pacific
Japan,Asia Pacific
Malaysia,Asia Pacific
Pakistan,Asia Pacific
Philippines,Asia Pacific
South Korea,Asia Pacific
Argentina,Latin America
Bolivia,Latin America
Brazil,Latin America
Chile,Latin America
El Salvador,Latin America
Mexico,Latin America
Venezuela,Latin America
Ghana,Africa
Kenya,Africa
Nigeria,Africa
Senegal,Africa
South Africa,Africa
Uganda,Africa
